Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.8998,0.9087,0.8998,0.8843,0.8819,0.374,0.4117,0.199
Light Gradient Boosting Machine,0.8988,0.91,0.8988,0.8882,0.8913,0.4553,0.4638,0.328
Gradient Boosting Classifier,0.8966,0.9083,0.8966,0.8822,0.8852,0.4113,0.4273,0.287
Linear Discriminant Analysis,0.8961,0.8999,0.8961,0.8859,0.8893,0.4484,0.4547,0.059
Ridge Classifier,0.8954,0.9,0.8954,0.8775,0.8775,0.3531,0.3856,0.054
Logistic Regression,0.8945,0.8944,0.8945,0.8766,0.8785,0.3638,0.3895,1.112
Extra Trees Classifier,0.8943,0.8834,0.8943,0.8751,0.8741,0.3298,0.3675,0.215
Ada Boost Classifier,0.8914,0.8937,0.8914,0.8774,0.8815,0.399,0.4099,0.135
Dummy Classifier,0.8796,0.5,0.8796,0.7738,0.8233,0.0,0.0,0.059
K Neighbors Classifier,0.8739,0.737,0.8739,0.8468,0.8551,0.2416,0.2584,0.897
